Gene,RosR_noH2O2.Gene,RosR_wH2O2_10m.Pk.pval,RosR_wH2O2_20m.Pk.pval,RosR_wH2O2_60m.Pk.pval,Idr1_noFe.Pk.pval,Idr1_100uM_Fe.Pk.pval,Idr2_noFe.Pk.pval,Idr2_100uM_Fe.Pk.pval,TfbA.Pk.pval,TfbB.Pk.pval,TfbC.Pk.pval,TfbD.Pk.pval,TfbE.Pk.pval,TfbF.Pk.pval,TfbG.Pk.pval,TbpE.Pk.pval,TbpF.Pk.pval,TrmB.Pk.pval
VNG0001H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VNG0002G,1,1,1,1,1,0.59127,1,1,1,1,1,1,1,0.01865,1,1,0.84405,1
VNG0003C,0.13531,1,1,1,1,1,1,1,1,1,1,1,1,0.099458818,1,1,1,1
VNG0005H,1,1,1,1,1,1,0.51173,0.13609,1,1,1,1,1,1,1,1,1,0.00629
VNG0006G,1,1,0.81818,1,1,1,1,1,0.46852,1,0.36122,1,1,1,0.68911,1,1,0.200401253
VNG0008G,0.83213,1,1,1,0.32788,1,0.002525015,1,1,1,0.5923,1,1,1,0.50551,1,1,1
VNG0009G,0.79408,1,0.93417,1,1,1,0.25987,1,1,0.3566,0.59097,1,1,0.10438,0.6683,1,1,0.003394377
VNG0011C,0.79408,1,0.93417,1,1,1,1,1,1,0.3566,0.59097,1,1,0.10438,0.6683,1,1,0.003394377
VNG0013C,1,1,1,1,1,1,1,1,0.55296,0.74809,1,0.00613,1,0.02258,0.11261,1,1,0.97065
VNG0014C,0.090758665,1,0.36755,1,1,1,1,1,0.55296,0.74809,1,0.00613,1,0.02258,0.11261,1,1,1
VNG0015H,0.09267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004507677
VNG0016H,0.011271015,1,0.23589,1,0.92083,1,1,0.05392843,1,0.05453,0.01992,0.00019,1,1,0.06732,0.93414,1,1
VNG0017H,0.011271015,1,0.23589,1,0.92083,1,1,1,1,0.05453,0.01992,0.00115,1,1,0.06732,0.93414,1,1
VNG0018H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.15961
VNG0019H,1,1,1,1,1,0.14609,1,0.014540297,0.04148,0.01091,1,0.00019,1,1,1,1,1,0.15961
VNG0020H,0.002091375,1,1,1,1,0.0029,1,1,1,0.61832,1,0.05019,1,1,0.17013,1,1,1
VNG0021H,0.002698632,1,0.03605,0.03817,1,1,1,1,1,0.61832,1,0.05019,1,1,1,1,1,1
VNG0022H,0.2217,0.95272,1,1,1,1,1,1,0.35889,1,1,0.29464,1,1,1,1,1,1
VNG0023H,1,1,1,1,1,0.85391,1,0.01504,1,1,1,1,1,1,1,1,1,1
VNG0024H,0.14363,1,0.37539,1,1,1,1,0.80223,1,1,0.68127,0.02739,0.23432,1,1,1,1,1
VNG0025H,0.14363,1,0.37539,1,1,1,1,1,1,1,0.68127,1,0.23432,1,1,1,1,0.27329
VNG0026C,1,1,1,1,1,1,1,1,0.5437,1,1,0.00249,1,1,1,1,1,1
VNG0027H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00697
VNG0028C,0.06225,1,0.24373,1,1,0.03325,0.03754,1,1,0.61287,1,1,1,1,0.56304,1,0.39583,0.73913
VNG0029H,1,1,1,1,1,1,1,1,1,0.25191,0.18991,1,1,0.125499018,0.27173,0.34915,1,0.00846
VNG0030H,0.00982759,1,1,1,1,1,1,0.02957,0.48259,1,1,1,1,1,0.37209,1,1,1
VNG0031H,0.073905368,1,0.15987,1,1,0.908525338,1,0.096993714,1,1,1,1,1,1,1,1,0.80179,1
VNG0032H,0.002675928,1,1,1,1,0.0336,1,0.025041287,1,1,0.42497,0.05575,1,0.03698,1,1,1,1
VNG0033H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55473
VNG0034H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55473
VNG0035C,1,1,1,1,1,1,0.09509,1,0.00778,1,1,1,1,1,1,1,1,1
VNG0037H,0.04853,1,1,1,1,0.018645924,1,0.138709507,1,0.01091,0.01859,1.55E-07,1,0.00654,0.00857,1,1,1
VNG0038H,0.31418,1,1,1,1,0.018645924,1,0.001540085,1,1,1,0.00192,0.21402,0.00654,1,1,1,1
VNG0039H,0.04237303,1,1,1,1,0.116302208,1,1,1,0.11996,0.02656,0.00019,1,0.05857,0.05386,1,1,1
VNG0040C,1,1,1,1,1,1,1,0.07168,1,1,1,0.00172,1,1,1,1,1,0.085528682
VNG0041C,1,1,1,1,1,0.04569,1,0.008276176,1,0.27263,1,0.00172,1,0.03992,1,1,1,0.27174
