gene.id,-40min_H2O2_ura3,-20min_H2O2_ura3,0min_H2O2_ura3,10min_H2O2_ura3,20min_H2O2_ura3,40min_H2O2_ura3,60min_H2O2_ura3,80min_H2O2_ura3,-40min_noH2O2_DrosR,-20min_noH2O2_DrosR,0min_H2O2_DrosR,10min_H2O2_DrosR,20min_H2O2_DrosR,40min_H2O2_DrosR,60min_H2O2_DrosR,80min_H2O2_DrosR,KO_tfbB_0.165,KO_tfbB_0.441,KO_tfbB_0.934,KO_tfbD_0.190,KO_tfbD_0.424,KO_tfbD_0.876,ura3_0.189,ura3_0.448,ura3_0.853,KO_tfbA_0.193,KO_tfbA_0.399,KO_tfbA_0.85,KO_tfbC_0.188,KO_tfbC_0.412,KO_tfbC_0.823,KO_tfbE_0.192,KO_tfbE_0.432,KO_tfbE_0.838,OE_tfbE_0.113,OE_tfbE_0.378,OE_tfbE_1.142,OE_tfbF_0.198,OE_tfbF_0.490,OE_tfbF_0.820g,OE_tfbF_0.946,OE_tfbG_0.180,OE_tfbG_0.408,OE_tfbG_1.080,OE_tbpE_0.188,OE_tbpE_0.423,OE_tbpE_0.868,OE_tbpF_0.207,OE_tbpF_0.401,OE_tbpF_0.829,ura3_noglu_OD0.214,ura3_noglu_OD0.641,ura3_noglu_OD1.47,ura3_withglu_OD0.182,ura3_withglu_OD0.291,ura3_withglu_OD0.5,dtrmB_noglu_OD0.042,dtrmB_noglu_OD0.104,dtrmB_noglu_OD0.355,dtrmB_withglu_OD0.222,dtrmB_withglu_OD0.314,dtrmB_withglu_OD0.8,ura3_0uM_Fe_0min,ura3_0uM_Fe_20min,ura3_0uM_Fe_40min,ura3_0uM_Fe_60min,ura3_10uM_Fe_40min,ura3_10uM_Fe_60min,KO_idr1_20min_0uM_Fe,KO_idr1_40min_0uM_Fe,KO_idr1_60_min_0uM_Fe,KO_idr1_20min_10uM_Fe,KO_idr1_40min_10uM_Fe,KO_idr1_60min_10uM_Fe,idr2_0uM_Fe_0min,idr2_0uM_Fe_20min,idr2_0uM_Fe_40min,idr2_0uM_Fe_60min,idr2_10uM_Fe_20min,idr2_10uM_Fe_40min,idr2_10uM_Fe_60min
VNG0001H,-0.538227716,-0.254282138,-0.029510948,0.27738906,-0.056653933,0.449460722,0.075456456,0.392815076,0.562298873,0.044797704,-0.245250223,0.385099434,0.346762839,0.050459705,0.235036404,0.452749758,-0.179249871,0.56735176,1.735551549,-0.441355591,0.408588358,1.680141841,-0.965518649,-0.350272521,1.531025556,-0.771265469,-0.482801658,2.283350935,-0.908808165,-0.398973574,1.848622639,-0.733682634,-0.600385291,2.029284659,0.190998426,0.96310243,0.785141948,-0.869086827,0.58777837,1.583251666,0.425223773,-0.052522907,-0.232036702,1.107767766,-1.08267873,0.133894777,2.478850761,-1.074779257,-0.850099059,2.142117141,1.040212977,0.61182162,0.60884417,0.256493767,0.413954765,0.211846381,-0.206728578,0.365529266,0.579454365,0.4483938,0.601494401,0.428980524,1.190165832,1.099354412,1.251994347,-0.090265473,0.108324254,-0.339850913,1.427695405,1.149297629,1.364393749,1.281057956,0.773305805,0.839456532,1.116326455,0.798094074,1.184421428,0.933571164,0.76553281,0.584438283,0.392670715
VNG0002G,-0.177404055,-0.398931811,0.003359915,-0.546422654,0.183069408,0.279085411,0.522207307,0.505381449,0.090139177,-0.102731476,-0.390734874,-0.269745813,-0.131793897,-0.239066926,0.514450515,0.274425654,-0.810871195,0.38168559,1.508566594,-0.044033891,0.845688604,1.120432652,-0.687493962,0.089073312,0.010100375,-0.61087448,-0.5694779,1.874594166,-0.788205122,-0.304398202,1.631437177,-0.724472354,-0.690477302,1.768483902,0.354798724,0.931696456,1.235981199,-0.933338795,1.083548933,1.635997499,0.376154679,0.014830593,0.669900505,1.386731983,-1.169921066,-0.104262681,2.552886628,-1.122084135,-0.776843831,1.950496879,1.089215426,0.674718868,0.598730475,0.521229826,0.306240551,0.248229402,-0.051067044,0.204877575,0.914371634,0.574874545,0.701292796,0.601490998,1.159419415,0.673650139,0.87713016,-0.779177408,0.414010525,-0.358319822,1.251994347,1.353456372,1.261563994,1.247252233,0.735768243,0.776238261,1.209889216,0.745222227,1.423755263,0.743412167,0.646067771,1.020216804,0.440406651
VNG0003C,0.542903762,0.301333849,0.565993419,-0.602436094,0.28586032,0.008694181,-0.514688326,0.10664086,0.421539216,-0.187268593,0.022955921,-0.60626353,0.090265473,0.561705828,0.061984131,0.455856498,-0.614524611,0.953112135,-0.281735704,-0.254927142,1.189175022,0.248733702,-0.716440532,-0.200595942,0.853162238,-0.916272004,-0.432924477,1.437223476,-0.958455473,-0.567028309,1.435197522,-0.941804425,-0.709064727,1.405255774,0.547923664,1.355226729,1.307824479,-0.781469119,1.355482898,1.528051278,0.546285626,0.165054724,0.506401074,1.341207468,-1.190864361,-0.05106833,2.242038316,-1.103209781,-0.863901093,1.763143283,1.427949156,0.933847001,0.881663346,0.973850189,0.507233456,0.329857037,0.464744573,0.850949306,1.338469234,1.054127128,1.060196183,0.607716755,0.623134296,0.742057408,0.360636923,0.269305014,0.244211685,0.258060151,1.799600491,1.908506195,1.699341986,1.560179349,1.128523763,1.192405581,0.801602926,0.875937265,1.181997265,1.004769703,0.334267816,1.708618369,0.483337876
VNG0005H,-0.859368087,-0.712947692,0.489105849,2.668278792,2.076116127,0.255020469,0.325892676,-0.169578665,0.101658474,0.067134677,0.801096212,2.110218285,2.852861092,2.747655505,1.504468112,-0.216041089,0.748643979,1.0640317,-0.219796466,1.147784507,1.589878392,-0.561056002,1.427516844,1.23471951,-0.299204671,1.687768067,1.484180328,-0.103375447,1.163287034,1.347283296,1.033675794,1.097682812,1.303283172,-0.177299037,-0.136198262,0.532051888,-0.23422289,0.300984075,1.385877802,-0.029083857,-0.732653437,0.295733142,0.173899259,-0.208685526,0.46661773,1.077835614,0.096233011,0.580091489,1.020764447,-0.038027036,1.437643384,0.068475953,0.011947207,1.792207583,-0.485625215,-0.128401977,-0.044543217,0.061760351,0.058391141,1.503945921,0.420294738,0.022851553,-0.603474915,-0.258313782,0.142757374,-1.196839418,-0.832428798,-1.415760105,0.579292714,0.400337236,0.271558033,0.191219594,-0.785075997,-0.180170058,-1.015234223,-0.729525422,-0.156006653,-0.299047939,-0.492849862,0.208948125,-0.889070132
VNG0006G,-0.419538588,-1.041144821,0.958198872,2.702425792,1.379258399,-2.612497905,-2.79853052,-2.846092948,-0.86813641,0.391361757,1.796729285,2.747655505,2.143631912,2.202873055,-0.158611901,-0.243591963,0.065027788,1.259393067,0.511168016,-0.200774764,0.765935186,1.209655775,-0.154419122,0.363461303,0.970535458,0.06958214,0.141988521,1.102753416,-0.209818065,-0.114944975,1.587719772,0.31727614,0.180382861,2.283524565,-0.936221745,-0.354167247,-0.324239078,-0.721942428,1.35123468,1.216072151,0.172823527,-0.731669751,0.097292594,0.743546165,-1.063342829,0.845643289,2.021175555,0.148989986,0.074268525,2.100627037,0.953050339,0.918991369,0.778318356,0.867856529,0.858809026,0.645443017,0.752961355,0.308986849,0.204753881,0.968768559,0.987882083,0.685047053,-0.582722868,-0.191587275,-0.63412916,-0.226742578,-0.248275683,-0.088084697,0.864436128,0.447871275,0.402691696,0.942857298,-0.166939468,0.67448975,-0.086047488,0.330672844,-0.307738525,0.253785882,-0.532707763,0.282844083,-1.102858333
VNG0008G,-0.364116458,0.38306878,0.407874953,-0.161404244,-0.102641648,0.752370841,-0.058722568,0.516584432,0.546609933,0.197167682,-0.097004113,-0.84849702,0.526145916,0.955350219,0.466336856,0.035153343,0.036046279,1.19084951,2.326230792,0.114359172,1.510965282,2.171079719,0.079494928,0.731672911,1.85684411,0.386494639,0.203177289,1.117141942,-0.654364485,-0.335340513,1.349298052,-0.223450826,0.126433434,2.145283031,-1.687080734,0.10749135,-0.013059924,-1.471883944,2.14284409,1.190435956,-0.399562573,-0.512158118,-0.485767053,0.587611199,-0.509153321,1.420137167,2.133067618,0.180578749,0.70052911,2.081958954,0.602055592,0.635819083,0.375273089,0.459429702,-0.088493005,0.234001381,-0.031500972,-0.270218129,0.534918896,0.682789222,0.354679669,0.519297459,-0.775251712,0.051684532,0.255815134,-1.08837451,-0.500639919,-0.538660234,0.077186891,0.735768243,0.211168702,0.405048391,-0.048892207,0.260306469,-0.276772754,-0.939728527,0.10073161,-0.153263406,-0.679755479,0.631475542,-0.777996245
VNG0009G,-1.160129039,0.360705354,0.766045703,0.56529468,0.025397652,1.030951784,0.929001251,0.109887716,1.573608437,-0.102601389,-0.747932086,-0.313547816,1.2960043,0.593148337,1.415884217,0.13724919,0.345289666,1.773971201,0.883907104,0.440276854,2.460416579,1.483133358,0.009331914,0.502244413,0.96480114,0.091426825,0.213412088,0.55418157,0.177044898,0.179915384,0.708146476,0.585513126,0.238072111,1.782750803,-0.967549999,-0.1274179,-0.82405625,0.096510542,0.223415747,0.151894206,-0.171744592,-0.542368062,0.141705385,0.596635615,0.017726144,1.784630219,1.299910905,0.743547648,1.00144735,1.876711762,-0.120322992,0.16836969,0.032744574,-0.257207013,0.01868051,0.426487828,-0.321497215,0.002984037,0.845494007,0.518702434,-0.019780704,0.353719969,-1.174453772,-0.277944112,-0.464744573,-0.642116987,-1.330638916,-2.028973346,-0.755848499,-0.016291632,-0.131793897,0.018464082,-0.814990078,0.342153068,-0.616506489,-0.182047406,-0.138193525,0.337787906,-1.167809084,0.376911778,-0.793691931
VNG0011C,-2.099076474,-0.917423883,-1.516065428,0.556689453,1.337227985,3.171053412,2.572234205,1.87867907,0.251668331,-0.745777686,-2.270599192,0.200325148,1.788739082,1.254550907,1.844652151,-0.301528121,1.059855319,-0.27466429,-1.611922678,0.647075767,0.773745735,-1.471101958,1.574581231,1.011789568,0.327830767,1.447762848,1.410686822,0.088594282,1.194857471,1.393858248,0.153217448,1.273084385,1.611264664,0.020779014,-0.359511866,0.491622909,-0.46899904,-0.227350671,0.042836283,-1.178384982,-0.634808388,0.010105366,0.30926709,-0.049744567,0.588145956,1.383442774,-1.183112657,0.922469646,0.67370215,0.366832181,-1.206140137,-0.253401717,-1.173266166,-0.136798287,-1.276237402,-0.212039478,-0.587016873,-0.746038454,-0.728553677,0.109063333,-0.819605819,-0.376349069,-0.376370446,-0.768321207,-0.663621788,-1.737367313,-0.051478855,-1.59795949,0.077186891,-0.693703319,-0.038021286,-0.647465026,-1.386772107,-1.538539284,-0.999329551,-0.221503846,-0.615154857,-0.442369574,-0.094572259,-0.423984492,-0.112198737
VNG0013C,-0.514505523,0.821168903,0.175352182,-0.007723989,0.233106921,-0.223860066,0.091334144,-0.123934546,0.766378563,0.048543023,-0.180500339,-0.366090463,0.652831648,-0.421066147,0.219904533,-0.2103957,-1.180149688,-1.000273652,-0.346941759,-0.950012839,-1.152224569,-0.260853833,-0.765587438,-0.808008049,0.133302604,-0.943632619,-0.910362845,-0.129618381,-0.914905487,-0.815791085,1.054243207,-0.400471435,-0.726969942,1.803924091,0.156032917,0.721780919,1.170590562,-0.473447219,1.670620952,0.447747765,0.181663471,-0.034274706,0.68628782,1.627145379,-1.430292768,-0.787408296,2.217116555,-0.731262652,-1.158259413,2.639192657,0.833240522,1.088584453,0.736272884,0.661271404,1.203675668,0.612850691,1.10023326,1.330003688,1.78750164,0.584211388,0.7752122,0.62833453,1.676536289,0.679604667,1.196839418,0.761641783,1.076195613,0.372251813,0.949654778,0.445471291,0.493984455,0.682693254,0.669045891,0.693703319,0.834003893,0.646893172,0.911115573,0.717931668,0.686514942,0.112098592,0.670911289
VNG0014C,0.096123377,0.196323939,-0.525660775,-0.885239158,0.061370757,1.162214257,0.404200753,0.844841247,-0.062694861,-0.750040019,-1.193756655,-0.078315438,-1.266392438,-0.945656404,0.77444126,0.208094041,0.07411551,-0.014468935,-0.447828701,0.085265788,-0.015541097,-1.007189638,0.296314548,-0.350666168,-0.543929589,0.491001263,-0.652026256,-0.115119185,0.193462587,-0.016400461,-0.247619404,0.652161666,0.11728676,0.642245317,-0.173098563,1.133062289,0.254623168,0.830823614,-0.157288008,-0.28648725,0.158491601,-0.60146418,0.653380697,0.996197957,-0.651856965,0.840512794,-0.206998253,0.449238375,0.050667047,0.911438724,1.713781668,0.735040238,-1.3996282,0.355393124,-0.632437136,0.011435136,1.43983762,-1.195432933,-0.885533998,-0.589537396,-0.616314415,-1.068386025,-0.918297039,1.235116392,0.574162437,0.180170058,-0.065189671,0.782123301,1.08837451,0.435896793,0.419236461,0.339850913,0.138369998,-0.125223491,-0.114997868,0.401341036,1.134456577,1.129903962,1.602612819,2.064241752,0.721966946
VNG0015H,1.195294553,2.141210626,0.478130182,-0.224578158,-0.903233368,0.296216551,1.577018825,0.559984892,-1.564418705,-0.766416504,0.046985259,-0.303631388,-2.028973346,-1.727705735,-0.829721628,0.300629498,-0.202124585,0.501853313,0.262210733,-0.564433426,-0.326667272,-0.377755402,0.356601311,0.054236634,0.11812838,-0.142195787,0.075633964,0.233214252,-0.188484418,0.077155945,-0.7182347,0.26769863,-0.060097027,-0.097731146,0.406729021,-0.123723153,-0.972547444,0.244104222,-0.22085181,0.079229691,0.270896327,-0.895223099,1.038099368,-0.39100959,-0.035407869,0.158473495,0.9317182,0.650476731,0.095931859,-0.04148973,1.063117993,1.476091048,1.772102881,0.306485273,1.701666552,2.129895502,0.423984492,0.063604058,0.874034596,0.718543369,2.189419075,1.522804865,0.58807658,0.175642539,-0.8550063,0.16033526,0.838950614,1.196839418,-0.984323105,-0.386256438,0.079365678,1.057475506,0.889967131,1.32679837,-0.4669679,-0.634182436,1.088037304,-0.078010936,-0.61015269,-1.605795313,0.845683757
